# epoch	training_loss	training_acc	validation_loss	validation_acc
1	1.0864	0.5516	0.9617	0.6046
2	0.6947	0.6221	1.0165	0.5018
3	0.6182	0.6638	4.2834	0.5323
4	0.5497	0.7220	0.8467	0.5987
5	0.4966	0.7650	0.3167	0.8635
6	0.4297	0.8065	0.3464	0.8463
7	0.4018	0.8367	0.4371	0.7888
8	0.3651	0.8477	0.2633	0.8925
9	0.3180	0.8779	0.3888	0.8530
10	0.2944	0.8852	0.2776	0.8878
11	0.2867	0.8894	0.4968	0.7896
12	0.2629	0.9019	1.0283	0.6562
13	0.2477	0.9095	0.3844	0.8682
14	0.2275	0.9142	0.1909	0.9257
15	0.2125	0.9275	0.1892	0.9276
16	0.2222	0.9236	0.1591	0.9472
17	0.2015	0.9340	0.2485	0.9054
18	0.2009	0.9351	0.1633	0.9406
19	0.1900	0.9353	1.4906	0.6437
20	0.1860	0.9361	0.2022	0.9429
21	0.1723	0.9358	0.1872	0.9339
22	0.1901	0.9343	0.1680	0.9406
23	0.1789	0.9416	0.1591	0.9456
24	0.1880	0.9382	0.2682	0.8799
25	0.1790	0.9374	0.1864	0.9413
26	0.1490	0.9499	0.1708	0.9492
27	0.1542	0.9481	0.1694	0.9515
28	0.1694	0.9457	0.1973	0.9218
29	0.1512	0.9523	0.1802	0.9370
30	0.1451	0.9559	0.1859	0.9261
31	0.1403	0.9486	0.2055	0.9190
32	0.1406	0.9549	0.2165	0.9233
33	0.1381	0.9562	0.1411	0.9582
34	0.1251	0.9604	0.1560	0.9449
35	0.1253	0.9593	0.1591	0.9445
36	0.1367	0.9572	0.1712	0.9398
37	0.1336	0.9583	0.1686	0.9370
38	0.1452	0.9559	0.1997	0.9284
39	0.1318	0.9583	0.1809	0.9300
40	0.1267	0.9588	0.1554	0.9589
41	0.1218	0.9624	0.4284	0.8819
42	0.1254	0.9635	0.1540	0.9449
43	0.1366	0.9575	0.2554	0.9171
44	0.1183	0.9637	0.1163	0.9703
45	0.1288	0.9632	0.1198	0.9601
46	0.1244	0.9619	0.1647	0.9562
47	0.1255	0.9611	0.2623	0.9257
48	0.1112	0.9677	0.1610	0.9496
49	0.1300	0.9583	0.1788	0.9460
50	0.1029	0.9708	0.1234	0.9617
51	0.1043	0.9684	0.2046	0.9359
52	0.1150	0.9687	0.2443	0.9296
53	0.1062	0.9677	0.1299	0.9574
54	0.1110	0.9690	0.1184	0.9617
55	0.1052	0.9692	0.1375	0.9613
56	0.0976	0.9690	0.1708	0.9394
57	0.1082	0.9666	0.1378	0.9570
58	0.0936	0.9710	0.1120	0.9613
59	0.1009	0.9690	0.1241	0.9589
60	0.1034	0.9650	0.3537	0.8921
61	0.1117	0.9627	0.1227	0.9644
62	0.1067	0.9671	0.1105	0.9589
63	0.0962	0.9718	0.2439	0.9163
64	0.1013	0.9705	0.1303	0.9675
65	0.0896	0.9718	0.1103	0.9722
66	0.1009	0.9710	0.1400	0.9472
67	0.0952	0.9718	0.1507	0.9492
68	0.0984	0.9695	0.1438	0.9484
69	0.0942	0.9729	0.1182	0.9640
70	0.0889	0.9718	0.3444	0.8991
71	0.0995	0.9710	0.1966	0.9421
72	0.0783	0.9750	0.1154	0.9715
73	0.0714	0.9768	0.1181	0.9632
74	0.0990	0.9731	0.1195	0.9593
75	0.0745	0.9768	0.1887	0.9476
76	0.1021	0.9684	0.0870	0.9707
77	0.0850	0.9770	0.1757	0.9425
78	0.0891	0.9763	0.1477	0.9523
79	0.0796	0.9757	0.1361	0.9597
80	0.0769	0.9731	0.1101	0.9711
81	0.0693	0.9776	0.0936	0.9734
82	0.0749	0.9784	0.1673	0.9562
83	0.0787	0.9750	0.1146	0.9715
84	0.0833	0.9763	0.1138	0.9699
85	0.0896	0.9757	0.1063	0.9734
86	0.0762	0.9760	0.1158	0.9644
87	0.0691	0.9747	0.1801	0.9625
88	0.0827	0.9750	0.1194	0.9562
89	0.0740	0.9802	0.1448	0.9566
90	0.0689	0.9794	0.1583	0.9539
91	0.0754	0.9742	0.1277	0.9625
92	0.0741	0.9791	0.1199	0.9593
93	0.0671	0.9810	0.1152	0.9699
94	0.0636	0.9815	0.1137	0.9754
95	0.0697	0.9770	0.1486	0.9550
96	0.0630	0.9791	0.1259	0.9609
97	0.0631	0.9812	0.1192	0.9621
